Tweet id	tf-idf	Text	Cluster
1335563677089533953	3.432943139944	"RT @Fatiha44383350: @_Suppu_ @SabrasRadio @BizAsia @RajBaddhan I vote #SurbhiChandna for Naagin5 
#TVPersonalityWithRajBaddhan 
@RajBaddhan…"	1
1335559304129048576	3.432943139944	"RT @Fatiha44383350: @_Suppu_ @SabrasRadio @BizAsia @RajBaddhan I vote #SurbhiChandna for Naagin5 
#TVPersonalityWithRajBaddhan 
@RajBaddhan…"	1
1335567872358309890	3.341184371248	"@RajBaddhan @SabrasRadio I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 
@RajBaddhan @SabrasRadio @BizAsia"	1
1335576437445693440	3.341184371248	"@RajBaddhan @SabrasRadio I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 

@BizAsia @RajBaddhan @SabrasRadio"	1
1335571153218273282	3.341184371248	"RT @Roshani21_: @RajBaddhan @SabrasRadio @RajBaddhan @SabrasRadio @BizAsia 

I vote #AshiSingh for #AladdinNaamTohSunaHoga #TVPersonalityWi…"	1
1335568994322030593	3.341184371248	"@RajBaddhan @SabrasRadio I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 

@RajBaddhan

@SabrasRadio

@BizAsia"	1
1335571398383652864	3.2567080445119996	"RT @Anjali11264160: @RajBaddhan @SabrasRadio I vote #SurbhiChandna for Naagin5 #TVPersonalityWithRajBaddhan 
@RajBaddhan @SabrasRadio @BizA…"	1
1335576396144340993	3.2567080445119996	"RT @anjusuji: @RajBaddhan @SabrasRadio I vote #RheaSharma for #YehRishteyHainPyaarKe  #TVPersonalityWithRajBaddhan 
@BizAsia
@RajBaddhan 
@…"	1
1335572543596617729	3.2567080445119996	"RT @surbhiyat: @RajBaddhan @SabrasRadio I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 

@RajBaddhan

@SabrasRadio

@BizA…"	1
1335568935199023105	3.2567080445119996	"RT @Ratel68167809: @RajBaddhan @SabrasRadio I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 
@RajBaddhan

@SabrasRadio

@B…"	1
1335568918296096768	3.2567080445119996	"@RajBaddhan @SabrasRadio I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 

@RajBaddhan

@SabrasRadio

@BizAsia https://t.co/F5NFFruZMf"	1
1335572527645507584	3.178057671344	"@RajBaddhan @SabrasRadio I vote for #ShehnaazGill for bb13 and msk. 
 #TVPersonalityWithRajBaddhan 
@RajBaddhan 
@SabrasRadio @BizAsia https://t.co/sVRsMMuX4q"	1
1335567354038603777	3.178057671344	"RT @Itsmemariyu: @RajBaddhan I vote #ShehnaazGill for #BiggBoss13 #TVPersonalityWithRajBaddhan 
@RajBaddhan

@BizAsia

@SabrasRadio https:/…"	1
1335567377312997377	3.178057671344	"@RajBaddhan @SabrasRadio I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 
@RajBaddhan

@SabrasRadio

@BizAsia Queen—///////&amp;&amp;&amp;&amp;&amp;”””” https://t.co/1w0fSm82im"	1
1335571434232401921	3.178057671344	"RT @yrhpkfan: @RajBaddhan @SabrasRadio I vote #RheaSharma for #YehRishteyHainPyaarKe #TVPersonalityWithRajBaddhan 
@BizAsia
@RajBaddhan
@Sa…"	1
1335574743047499777	3.178057671344	"RT @ORhesha: @RajBaddhan @SabrasRadio I vote #RheaSharma for #YehRishteyHainPyaarKe #TVPersonalityWithRajBaddhan 
@BizAsia
@RajBaddhan
@Sab…"	1
1335568915301158913	3.0367782973199997	"RT @Tejasvi_011: @RajBaddhan @SabrasRadio I vote for #AsimRiaz for #biggboss13 

@RajBaddhan @SabrasRadio #TVPersonalityWithRajBadhhan 

VH…"	1
1335572570133856256	2.972692808072	"@RajBaddhan @SabrasRadio I vote for #RheaSharma for Yeh Rishtey Hain Pyaar Ke
#TVPersonalityWithRajBaddhan 
@RajBaddhan
@SabrasRadio
@BizAsia https://t.co/MPHSwEGjt5"	1
1335568936507744256	2.9129767839999996	"@RajBaddhan @SabrasRadio Karo Sab Tweets
I vote for #AsimRiaz for #BB13 #TVPersonalityWithRajBhaddan @BizAsia @RajBaddhan VHM COMING SOON"	2
1335567876690825221	2.803011910404	"@RajBaddhan @SabrasRadio I vote for #ShehnaazGill for bb13 and msk. 
QUEEN OF HEARTS 💚
#TVPersonalityWithRajBaddhan #TVPersonalityWithRajBaddan 
@RajBaddhan 
@SabrasRadio @BizAsia https://t.co/9lpb7xW4kA"	1
