Tweet id	diversity	Text	Cluster
1335563686526787584	2.811084126583522	Did we vote for this?	1
1335576417753559040	2.3878734243892215	@LLinWood VOTE VOTE VOTE TRUMP SAID VOTE!! SO YOU BETTER VOTE. DO NOT LISTEN TO THIS DEMOCRAT	2
1335559290854268936	2.3323274732662216	"@BLACK4PINKS_ @mandujenduk @OH_mes2 Ok these are the results
Kblinks tweet it

Worldwide Fans'Choice TOP 10 

BTS vote 7,009,302 
Blackpink vote 3,441,450
NCT vote 1,558,362
Seventeen vote 1,557,358 
Twice vote 1,411,877
Treasure vote 1,147,150,
EXO vote 939,661
Ateez vote 915,812
TXT vote 911,042
GOT7 vote 863,344"	2
1335565369407369217	2.033110806517221	"@btsvotingorg @BTS_twt Better to vote here too! Only 17 hours left to vote! 🚨

#2 (↓) TMA Popularity – -7,519 gap

VOTE NOW PLEASE !!!

Vote here: https://t.co/bEC9gCLr8S https://t.co/kacxXb7aL1 https://t.co/tO2ViRwCr4"	2
1335571429090340865	2.033110806517221	"@BTSChartDailyx @BTS_twt Better to vote here too! Only 17 hours left to vote! 🚨

#2 (↓) TMA Popularity – -7,519 gap

VOTE NOW PLEASE !!!🙏🙏

Vote here: https://t.co/bEC9gCLr8S https://t.co/kacxXb7aL1 https://t.co/YBpVYW5yvu"	2
1335571194855079937	2.0045377863922216	"@glxssytan @BTS_History613 @BTS_twt Better to vote here too! Only 17 hours left to vote! 🚨

#2 (↓) TMA Popularity – -7,519 gap

VOTE NOW PLEASE !!! 🙏🙏🙏

Vote here: https://t.co/bEC9gCLr8S https://t.co/kacxXb7aL1 https://t.co/V2xN4kdYHO"	2
1335559303390871554	1.9515062610402212	VOTE GUYS https://t.co/MnhozzjIlV	2
1335568912457625601	1.9515062610402212	VOTE WONDER https://t.co/FEWVRebWwp	2
1335572531252785155	1.9515062610402212	RT @Greatsagoe: Don’t vote. If you do vote, then you can’t complain to the public because you choose that “NPP or NDC”. If you didn’t vote,…	2
1335574719060455424	1.9515062610402212	How would you vote? https://t.co/IAaoQBkQZc	2
1335572520662048768	1.9083038546112214	"RT @btsvotingorg: Better to vote here too! Only 17 hours left to vote! 🚨

#2 (↓) TMA Popularity – -7,519 gap

Vote here: https://t.co/8HrnH…"	2
1335568974701064193	1.9083038546112214	"RT @btsvotingorg: Better to vote here too! Only 17 hours left to vote! 🚨

#2 (↓) TMA Popularity – -7,519 gap

Vote here: https://t.co/8HrnH…"	2
1335574729881579521	1.9083038546112214	"RT @btsvotingorg: Better to vote here too! Only 17 hours left to vote! 🚨

#2 (↓) TMA Popularity – -7,519 gap

Vote here: https://t.co/8HrnH…"	2
1335567390965379075	1.9083038546112214	"RT @btsvotingorg: Better to vote here too! Only 17 hours left to vote! 🚨

#2 (↓) TMA Popularity – -7,519 gap

Vote here: https://t.co/8HrnH…"	2
1335571189910167552	1.8852465720189227	"RT @buzzman888: - .@realDonaldTrump 
“A lot of people, friends of mine, say, ‘Let’s not vote, we’re not going to vote because we’re angry a…"	0
1335568948927016961	1.8852465720189227	"RT @buzzman888: - .@realDonaldTrump 
“A lot of people, friends of mine, say, ‘Let’s not vote, we’re not going to vote because we’re angry a…"	0
1335571425101410304	1.8852465720189227	"RT @buzzman888: - .@realDonaldTrump 
“A lot of people, friends of mine, say, ‘Let’s not vote, we’re not going to vote because we’re angry a…"	0
1335576399210549253	1.8852465720189227	Come on Georgia don't let the rest of us down. #senate #vote https://t.co/9XJBk5ceZy	0
1335567381897375749	1.8685302105972212	"Your guns are in Georgia’s hands !
Vote Blue they’re gone !
Vote Red keep !
VOTE RED ! ! ! ! !"	2
1335572565574631427	1.8685302105972212	"RT @maerd_kh: @BTSChartDailyx Better to vote here too! Only 17 hours left to vote! 🚨

#2 (↓) TMA Popularity – -7,519 gap

VOTE NOW PLEASE !…"	2
